Loop Time (ms)	IR (16 bit)	Force (N)
64	7635	1530.25
64	7634	1529.1
64	7629	1526.54
64	7629	1523.73
64	7623	1520.41
64	7618	1516.7
80	7604	1513.12
64	7583	1509.54
64	7565	1506.35
64	7536	1503.54
63	7516	1501.11
64	7496	1499.7
65	7469	1498.68
64	7438	1498.55
63	7347	1498.81
64	7245	1499.58
65	7147	1500.73
63	7055	1501.88
80	7032	1503.41
65	7035	1505.07
63	7038	1506.99
64	7057	1508.78
64	7088	1510.57
64	7121	1512.36
65	7165	1514.02
63	7212	1515.42
64	7253	1517.09
64	7294	1518.62
64	7331	1520.28
64	7369	1522.07
80	7435	1523.86
64	7568	1525.27
65	7712	1526.8
63	7869	1528.08
64	7970	1529.36
64	8034	1530.25
64	8099	1531.02
64	8173	1531.4
63	8235	1531.53
65	8288	1531.78
64	8347	1531.91
63	8395	1531.91
80	8467	1532.17
64	8508	1532.17
65	8541	1532.17
64	8569	1532.42
63	8589	1532.42
64	8609	1532.55
65	8633	1532.81
63	8644	1532.81
64	8661	1532.93
64	8673	1533.06
64	8683	1533.19
